contig_length	completeness	type	type2
33801	91.12	SiPs-L	SiPs
13494	35.7	SiPs-S	SiPs
16388	30.74	SiPs-S	SiPs
58339	91.61	SiPs-L	SiPs
12336	18.83	SiPs-S	SiPs
33873	100	SiPs-L	SiPs
33871	100	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
18724	50.61	SiPs-S	SiPs
41188	95.89	SiPs-L	SiPs
12525	16.58	SiPs-S	SiPs
45611	100	SiPs-L	SiPs
22560	61.33	SiPs-S	SiPs
6198	3.37	SiPs-S	SiPs
38162	61.37	SiPs-L	SiPs
21241	57.74	SiPs-S	SiPs
9209	78.24	SiPs-S	SiPs
16660	43.28	SiPs-S	SiPs
47648	100	SiPs-L	SiPs
50236	96.46	SiPs-L	SiPs
14886	42.17	SiPs-S	SiPs
36332	100	SiPs-L	SiPs
35806	95.65	SiPs-L	SiPs
15231	31.31	SiPs-S	SiPs
11600	100	SiPs-S	SiPs
10537	25.41	SiPs-S	SiPs
7731	44.16	SiPs-S	SiPs
10231	25.86	SiPs-S	SiPs
20480	41.92	SiPs-S	SiPs
24254	23.49	SiPs-S	SiPs
21244	57.75	SiPs-S	SiPs
51155	98.64	SiPs-L	SiPs
14769	22.1	SiPs-S	SiPs
9528	80.95	SiPs-S	SiPs
14371	30.29	SiPs-S	SiPs
12832	100	SiPs-S	SiPs
37644	100	SiPs-L	SiPs
16412	51.15	SiPs-S	SiPs
28732	55.49	SiPs-S	SiPs
12576	32.67	SiPs-S	SiPs
25773	44.27	SiPs-S	SiPs
10870	24.79	SiPs-S	SiPs
38002	100	SiPs-L	SiPs
36208	96.69	SiPs-L	SiPs
10588	100	SiPs-S	SiPs
44440	87.55	SiPs-L	SiPs
11049	22.68	SiPs-S	SiPs
38943	100	SiPs-L	SiPs
11301	22.44	SiPs-S	SiPs
40588	99.22	SiPs-L	SiPs
33873	100	SiPs-L	SiPs
33871	100	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
35048	100	SiPs-L	SiPs
15156	34.55	SiPs-S	SiPs
38876	100	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
10231	25.86	SiPs-S	SiPs
20485	42.01	SiPs-S	SiPs
11619	38.58	SiPs-S	SiPs
5727	3.73	SiPs-S	SiPs
33385	61.48	SiPs-L	SiPs
11532	32.99	SiPs-S	SiPs
15393	48.08	SiPs-S	SiPs
37691	100	SiPs-L	SiPs
38632	100	SiPs-L	SiPs
9738	13.36	SiPs-S	SiPs
39293	100	SiPs-L	SiPs
11738	19.88	SiPs-S	SiPs
17539	46.4	SiPs-S	SiPs
12109	28.73	SiPs-S	SiPs
29908	57.55	SiPs-S	SiPs
13494	35.7	SiPs-S	SiPs
16385	30.74	SiPs-S	SiPs
14246	32.37	SiPs-S	SiPs
40959	100	SiPs-L	SiPs
47730	100	SiPs-L	SiPs
11546	35.78	SiPs-S	SiPs
34813	100	SiPs-L	SiPs
47821	100	SiPs-L	SiPs
13648	26.23	SiPs-S	SiPs
31428	100	SiPs-L	SiPs
26388	62.25	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
35776	100	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
42392	100	SiPs-L	SiPs
22560	61.33	SiPs-S	SiPs
40510	88.15	SiPs-L	SiPs
40931	100	SiPs-L	SiPs
40897	100	SiPs-L	SiPs
10990	31.31	SiPs-S	SiPs
28790	100	SiPs-S	SiPs
13494	35.7	SiPs-S	SiPs
16388	30.74	SiPs-S	SiPs
36186	96.63	SiPs-L	SiPs
44435	85.15	SiPs-L	SiPs
15961	3.6	SiPs-S	SiPs
37919	100	SiPs-L	SiPs
32101	81.22	SiPs-L	SiPs
35469	99.95	SiPs-L	SiPs
23977	100	SiPs-S	SiPs
21579	49.2	SiPs-S	SiPs
32943	88.8	SiPs-L	SiPs
10788	34.47	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
48415	100	SiPs-L	SiPs
10658	25.49	SiPs-S	SiPs
16549	22.42	SiPs-S	SiPs
10725	28.19	SiPs-S	SiPs
10788	34.47	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
19880	44.26	SiPs-S	SiPs
49536	100	SiPs-L	SiPs
56095	100	SiPs-L	SiPs
16550	22.43	SiPs-S	SiPs
32355	35.31	SiPs-L	SiPs
34745	100	SiPs-L	SiPs
12183	33.85	SiPs-S	SiPs
10788	34.47	SiPs-S	SiPs
9739	13.36	SiPs-S	SiPs
56079	100	SiPs-L	SiPs
13769	87.83	SiPs-S	SiPs
27810	68.61	SiPs-S	SiPs
36641	100	SiPs-L	SiPs
13581	9.27	SiPs-S	SiPs
35600	100	SiPs-L	SiPs
24649	67.04	SiPs-S	SiPs
12436	100	SiPs-S	SiPs
34902	100	SiPs-L	SiPs
46766	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
38713	100	SiPs-L	SiPs
44037	100	SiPs-L	SiPs
36348	100	SiPs-L	SiPs
36998	100	SiPs-L	SiPs
35545	98.37	SiPs-L	SiPs
30826	84.91	SiPs-L	SiPs
13127	35.25	SiPs-S	SiPs
8452	100	SiPs-S	SiPs
38066	98.98	SiPs-L	SiPs
13706	35.6	SiPs-S	SiPs
43454	100	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
11053	25.38	SiPs-S	SiPs
43454	100	SiPs-L	SiPs
34369	100	SiPs-L	SiPs
37424	98.57	SiPs-L	SiPs
8583	13.14	SiPs-S	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
35227	100	SiPs-L	SiPs
40638	100	SiPs-L	SiPs
12436	100	SiPs-S	SiPs
43454	100	SiPs-L	SiPs
40969	100	SiPs-L	SiPs
27545	58.61	SiPs-S	SiPs
16940	39.56	SiPs-S	SiPs
38701	96.37	SiPs-L	SiPs
34844	100	SiPs-L	SiPs
13073	100	SiPs-S	SiPs
31026	100	SiPs-L	SiPs
10339	22.02	SiPs-S	SiPs
10339	22.02	SiPs-S	SiPs
41162	93.65	SiPs-L	SiPs
32725	100	SiPs-L	SiPs
48659	100	SiPs-L	SiPs
10222	100	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
18728	49.84	SiPs-S	SiPs
32179	83.34	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
13429	100	SiPs-S	SiPs
37061	99.9	SiPs-L	SiPs
12099	22.3	SiPs-S	SiPs
57774	90.76	SiPs-L	SiPs
42069	100	SiPs-L	SiPs
33072	61.49	SiPs-L	SiPs
18724	50.61	SiPs-S	SiPs
31026	100	SiPs-L	SiPs
10339	22.02	SiPs-S	SiPs
12693	50.45	SiPs-S	SiPs
12289	49.63	SiPs-S	SiPs
31025	100	SiPs-L	SiPs
10339	22.02	SiPs-S	SiPs
12099	22.3	SiPs-S	SiPs
32725	100	SiPs-L	SiPs
36099	95.63	SiPs-L	SiPs
18353	49.49	SiPs-S	SiPs
20620	44.23	SiPs-S	SiPs
13306	38.6	SiPs-S	SiPs
39510	100	SiPs-L	SiPs
14056	100	SiPs-S	SiPs
7462	15.29	SiPs-S	SiPs
36563	96.25	SiPs-L	SiPs
38297	98.02	SiPs-L	SiPs
34273	92.39	SiPs-L	SiPs
31026	100	SiPs-L	SiPs
10339	22.02	SiPs-S	SiPs
24052	74.71	SiPs-S	SiPs
30143	95.79	SiPs-L	SiPs
31026	100	SiPs-L	SiPs
