func	type	percent
integrase	SiPs-L	74.3
terminase	SiPs-L	99.08
tail- and baseplate-associated	SiPs-L	99.55
portal-associated	SiPs-L	95.4
lysis-associated	SiPs-L	98.38
integrase	SiPs-S	85.82
terminase	SiPs-S	44.08
tail- and baseplate-associated	SiPs-S	73.01
portal-associated	SiPs-S	17.95
lysis-associated	SiPs-S	37.26
integrase	SdPs-L	98.1
terminase	SdPs-L	99.31
tail- and baseplate-associated	SdPs-L	99.7
portal-associated	SdPs-L	92.06
lysis-associated	SdPs-L	99.01
integrase	SdPs-S	79.58
terminase	SdPs-S	42.32
tail- and baseplate-associated	SdPs-S	80.09
portal-associated	SdPs-S	39.55
lysis-associated	SdPs-S	44.1
