hi	label	model
2.3527	0	GaussianMixture
2.7686	0	GaussianMixture
2.7686	0	GaussianMixture
3.3381	0	GaussianMixture
4.3144	0	GaussianMixture
4.6532	0	GaussianMixture
4.6532	0	GaussianMixture
5.1589	0	GaussianMixture
6.1062	0	GaussianMixture
6.2369	0	GaussianMixture
6.2369	0	GaussianMixture
6.3969	0	GaussianMixture
6.7211	0	GaussianMixture
6.7211	0	GaussianMixture
6.9833	0	GaussianMixture
6.9833	0	GaussianMixture
7.0354	0	GaussianMixture
7.0354	0	GaussianMixture
7.0642	0	GaussianMixture
7.0642	0	GaussianMixture
8.3212	0	GaussianMixture
8.6111	0	GaussianMixture
8.8018	0	GaussianMixture
9.0678	0	GaussianMixture
9.1912	0	GaussianMixture
9.1912	0	GaussianMixture
9.2685	0	GaussianMixture
9.381	0	GaussianMixture
9.4004	0	GaussianMixture
9.5379	0	GaussianMixture
9.5959	0	GaussianMixture
10.5647	0	GaussianMixture
10.6822	0	GaussianMixture
11.8257	0	GaussianMixture
12.0879	0	GaussianMixture
12.1642	0	GaussianMixture
12.5928	0	GaussianMixture
12.7969	0	GaussianMixture
12.8241	0	GaussianMixture
12.8386	0	GaussianMixture
12.8477	0	GaussianMixture
12.934	0	GaussianMixture
12.934	0	GaussianMixture
12.9949	0	GaussianMixture
13.5496	0	GaussianMixture
13.5496	0	GaussianMixture
13.6036	0	GaussianMixture
13.9467	0	GaussianMixture
14.0719	0	GaussianMixture
14.6271	0	GaussianMixture
14.8228	0	GaussianMixture
14.8864	0	GaussianMixture
14.8947	0	GaussianMixture
14.9842	0	GaussianMixture
14.9842	0	GaussianMixture
15.0662	0	GaussianMixture
15.0691	0	GaussianMixture
15.241	0	GaussianMixture
15.2579	0	GaussianMixture
15.2591	0	GaussianMixture
15.2939	0	GaussianMixture
15.2962	0	GaussianMixture
15.3188	0	GaussianMixture
15.3828	0	GaussianMixture
15.4953	0	GaussianMixture
15.5579	0	GaussianMixture
15.5579	0	GaussianMixture
15.5738	0	GaussianMixture
15.5936	0	GaussianMixture
15.6189	0	GaussianMixture
15.6421	0	GaussianMixture
15.9719	0	GaussianMixture
15.9781	0	GaussianMixture
