hi	model
2.3527	GaussianMixture
2.7686	GaussianMixture
2.7686	GaussianMixture
3.3381	GaussianMixture
4.3144	GaussianMixture
4.6532	GaussianMixture
4.6532	GaussianMixture
5.1589	GaussianMixture
6.1062	GaussianMixture
6.2369	GaussianMixture
6.2369	GaussianMixture
6.3969	GaussianMixture
6.7211	GaussianMixture
6.7211	GaussianMixture
6.9833	GaussianMixture
6.9833	GaussianMixture
7.0354	GaussianMixture
7.0354	GaussianMixture
7.0642	GaussianMixture
7.0642	GaussianMixture
8.3212	GaussianMixture
8.6111	GaussianMixture
8.8018	GaussianMixture
9.0678	GaussianMixture
9.1912	GaussianMixture
9.1912	GaussianMixture
9.2685	GaussianMixture
9.381	GaussianMixture
9.4004	GaussianMixture
9.5379	GaussianMixture
9.5959	GaussianMixture
10.5647	GaussianMixture
10.6822	GaussianMixture
11.8257	GaussianMixture
12.0879	GaussianMixture
12.1642	GaussianMixture
12.5928	GaussianMixture
12.7969	GaussianMixture
12.8241	GaussianMixture
12.8386	GaussianMixture
12.8477	GaussianMixture
12.934	GaussianMixture
12.934	GaussianMixture
12.9949	GaussianMixture
13.5496	GaussianMixture
13.5496	GaussianMixture
13.6036	GaussianMixture
13.9467	GaussianMixture
14.0719	GaussianMixture
14.6271	GaussianMixture
14.8228	GaussianMixture
14.8864	GaussianMixture
14.8947	GaussianMixture
14.9842	GaussianMixture
14.9842	GaussianMixture
15.0662	GaussianMixture
15.0691	GaussianMixture
15.241	GaussianMixture
15.2579	GaussianMixture
15.2591	GaussianMixture
15.2939	GaussianMixture
15.2962	GaussianMixture
15.3188	GaussianMixture
15.3828	GaussianMixture
15.4953	GaussianMixture
15.5579	GaussianMixture
15.5579	GaussianMixture
15.5738	GaussianMixture
15.5936	GaussianMixture
15.6189	GaussianMixture
15.6421	GaussianMixture
15.9719	GaussianMixture
15.9781	GaussianMixture
15.9963	GaussianMixture
16.0046	GaussianMixture
16.0571	GaussianMixture
16.0571	GaussianMixture
16.0776	GaussianMixture
16.2213	GaussianMixture
16.2213	GaussianMixture
16.2364	GaussianMixture
16.2475	GaussianMixture
16.2696	GaussianMixture
16.2895	GaussianMixture
16.3578	GaussianMixture
16.3895	GaussianMixture
16.4049	GaussianMixture
16.4814	GaussianMixture
16.5025	GaussianMixture
16.5068	GaussianMixture
16.5068	GaussianMixture
16.6252	GaussianMixture
16.6887	GaussianMixture
16.7182	GaussianMixture
16.7731	GaussianMixture
16.7731	GaussianMixture
16.7903	GaussianMixture
16.8069	GaussianMixture
16.808	GaussianMixture
16.8222	GaussianMixture
16.8852	GaussianMixture
16.9001	GaussianMixture
16.9187	GaussianMixture
16.9497	GaussianMixture
17.0292	GaussianMixture
17.0332	GaussianMixture
17.2098	GaussianMixture
17.2098	GaussianMixture
17.2182	GaussianMixture
17.2182	GaussianMixture
17.2182	GaussianMixture
17.324	GaussianMixture
17.3717	GaussianMixture
17.3884	GaussianMixture
17.411	GaussianMixture
17.5033	GaussianMixture
17.5251	GaussianMixture
17.577	GaussianMixture
17.5892	GaussianMixture
17.5905	GaussianMixture
17.5909	GaussianMixture
17.6053	GaussianMixture
17.6089	GaussianMixture
17.6336	GaussianMixture
17.774	GaussianMixture
17.7847	GaussianMixture
17.7847	GaussianMixture
17.8838	GaussianMixture
17.9389	GaussianMixture
17.9727	GaussianMixture
18.0819	GaussianMixture
18.1182	GaussianMixture
18.1264	GaussianMixture
18.3513	GaussianMixture
18.4242	GaussianMixture
18.4451	GaussianMixture
18.4739	GaussianMixture
18.5249	GaussianMixture
18.5436	GaussianMixture
18.6337	GaussianMixture
18.6696	GaussianMixture
18.7931	GaussianMixture
18.8085	GaussianMixture
18.8966	GaussianMixture
18.924	GaussianMixture
19.1122	GaussianMixture
19.1286	GaussianMixture
19.1614	GaussianMixture
19.1614	GaussianMixture
19.2466	GaussianMixture
19.3933	GaussianMixture
19.4985	GaussianMixture
19.4985	GaussianMixture
19.5513	GaussianMixture
19.5513	GaussianMixture
19.5927	GaussianMixture
19.5927	GaussianMixture
19.5974	GaussianMixture
19.6136	GaussianMixture
19.6136	GaussianMixture
19.6335	GaussianMixture
19.6336	GaussianMixture
19.6908	GaussianMixture
19.7372	GaussianMixture
19.7437	GaussianMixture
19.8351	GaussianMixture
19.8351	GaussianMixture
19.9268	GaussianMixture
19.9414	GaussianMixture
19.9566	GaussianMixture
20.0055	GaussianMixture
20.0055	GaussianMixture
20.0805	GaussianMixture
20.0837	GaussianMixture
20.1088	GaussianMixture
20.1205	GaussianMixture
20.1205	GaussianMixture
20.1525	GaussianMixture
20.1611	GaussianMixture
20.1831	GaussianMixture
20.286	GaussianMixture
20.3613	GaussianMixture
20.403	GaussianMixture
20.4458	GaussianMixture
20.4458	GaussianMixture
20.4822	GaussianMixture
20.616	GaussianMixture
20.6475	GaussianMixture
20.7027	GaussianMixture
20.7239	GaussianMixture
20.8372	GaussianMixture
20.8372	GaussianMixture
20.8908	GaussianMixture
20.9957	GaussianMixture
21.1786	GaussianMixture
21.1786	GaussianMixture
21.25	GaussianMixture
21.3233	GaussianMixture
21.3479	GaussianMixture
21.3718	GaussianMixture
21.4838	GaussianMixture
21.5088	GaussianMixture
21.5307	GaussianMixture
21.5307	GaussianMixture
21.6253	GaussianMixture
21.644	GaussianMixture
21.6798	GaussianMixture
21.6869	GaussianMixture
21.7634	GaussianMixture
21.7644	GaussianMixture
21.7879	GaussianMixture
21.817	GaussianMixture
21.8897	GaussianMixture
21.9417	GaussianMixture
21.9516	GaussianMixture
21.9769	GaussianMixture
21.9845	GaussianMixture
21.9845	GaussianMixture
22.0147	GaussianMixture
22.0353	GaussianMixture
22.0365	GaussianMixture
22.0949	GaussianMixture
22.1113	GaussianMixture
22.1314	GaussianMixture
22.1453	GaussianMixture
