	SdPs	SiPs
human	47.15503462972829	40.2591902422497
animal	21.811401172083112	22.505505675080467
plant	3.1406499733617474	3.582923936981196
other(h)	2.4986680873734683	1.8803997967135355
soil	1.7847629195524775	2.015924106386583
rhizosphere	0.6899307405434204	0.6183296628832797
sediment	0.6766116142781033	0.7199728951380654
other(t)	0.2663825253063399	0.3981026596645773
freshwater	1.822056473095365	1.939691682195494
wastewater	2.0404901438465637	2.0074538370320174
seawater	0.43153969099627065	0.4743350838556666
other(a)	0.54075652637187	0.7623242419108928
other	17.141715503462972	22.835846179908522
