	SdPs	SiPs
tail protein	2.836917410854704	3.6307259890471464
minor tail protein	2.352166225361471	1.1222771228124966
tail fiber protein	1.5708662665892368	1.5639604269605274
tail length tape measure protein	1.5314581371808422	1.6221823170527678
baseplate wedge subunit	1.3925418815354198	1.8588621078108793
portal protein	1.7375969671337241	1.9516602161571321
terminase large subunit	1.7095745637681243	1.646051061266828
terminase small subunit	1.6271710214036053	1.7589256834379914
major head protein	1.417340928669726	1.6772811938833554
virion structural protein	0.901240004346332	0.5369352086284395
HNH endonuclease	1.2484266642266206	0.7878916314398207
RecA filament binding protein DinI	0.5679345721072587	0.02431488896572493
RusA-like Holliday junction resolvase	0.5253030864675707	0.29914005599116633
replication initiation O-like	0.5241593149016278	0.31319361566860365
replication initiation protein	0.5159969450901266	0.4242836588331084
transcriptional repressor	2.3453035959658135	1.4368091727360943
transcriptional regulator	1.5849554526969873	2.433273475579152
CII-like transcriptional activator	1.1192844565083462	0.6915243650802503
anti-termination protein Q-like	1.0614200131949647	0.5674961241174699
anti-repressor Ant	0.5510899363179186	0.28664800294455534
integrase	1.9896426285742213	2.368359414211941
transposase	1.215517236897447	1.5826985065304437
excisionase	0.7287384563554967	0.4347680604972283
excisionase and transcriptional regulator	0.42418328211489603	0.460198311342115
Cox-like excisionase and repressor	0.26415924211616454	0.324570306836053
tail completion or Neck1 protein	1.283675624304314	1.3288421428332422
head-tail adaptor Ad1	1.0037635283481183	0.8869357663093791
tail terminator	0.9284305738457915	0.8084142900163959
head closure Hc1	0.6510139794880166	0.3749846637741615
head closure	0.383995308456995	0.6660941142353637
endolysin	1.7723260310450797	1.6094671916303245
holin	1.6676709327613088	1.1898680526896952
Rz-like spanin	1.57767690636826	1.6893271021783018
holin/anti-holin	0.2816277533051099	0.29311710184369316
amidase	0.0035352939310960814	0.021414948079904524
Ren-like exclusion protein	0.24861434674266855	0.23957973164393187
membrane protein	0.20837438346813375	0.16105825535094861
MokW-like host killing	0.1943891765936507	0.300255417870328
gam-like host nuclease inhibitor	0.1665227420779522	0.09101352933959424
cell division inhibitor	0.1631434169967574	0.05777574534057575
DNA methyltransferase	1.304991367124158	0.8748898580144328
DksA-like zinc-finger protein	0.44898232924920234	0.3970688289815631
Lom outer membrane protein	0.3299261071578784	0.20611887526908104
Kil protein for bacterial septation inhibition	0.24206365504681404	0.2783943250387588
lipoprotein	0.16849834751003528	0.2737098051462797
