	SdPs	SiPs
Escherichia coli	27.0606304395524	34.87378640776699
Escherichia albertii	0.541212608791048	0.8673139158576052
Escherichia fergusonii	0.5265852409858846	0.5307443365695793
Escherichia marmotae	0.05119578731807211	0.05177993527508091
Escherichia sp005843885	0.00731368390258173	0.012944983818770227
Klebsiella pneumoniae	16.389965625685658	4.699029126213592
Klebsiella variicola	1.0019746946536972	0.3365695792880259
Klebsiella quasipneumoniae	0.9288378556278798	0.4401294498381877
Klebsiella michiganensis	0.4827031375703942	0.36245954692556637
Klebsiella aerogenes	0.44613471805748556	0.20711974110032363
Salmonella enterica	13.259708915380678	14.174757281553399
Salmonella diarizonae	0.10239157463614422	0.06472491909385113
Salmonella bongori	0.0731368390258173	0.07766990291262135
Salmonella houtenae	0.00731368390258173	0.012944983818770227
Pseudomonas aeruginosa	5.046441892781394	9.177993527508091
Pseudomonas aeruginosa_A	0.05119578731807211	0.038834951456310676
Pseudomonas nitroreducens	0.03656841951290865	0.038834951456310676
Pseudomonas citronellolis	0.03656841951290865	0.07766990291262135
Pseudomonas knackmussii	0.01462736780516346	0.025889967637540454
Pseudomonas_E alloputida	0.3656841951290865	0.10355987055016182
Pseudomonas_E chlororaphis_F	0.27791998829810577	0.2977346278317152
Pseudomonas_E avellanae	0.23403788488261537	0.12944983818770225
Pseudomonas_E amygdali	0.18284209756454325	0.09061488673139159
Pseudomonas_E asiatica	0.17552841366196154	0.12944983818770225
Enterobacter hormaechei_A	2.6402398888320047	2.174757281553398
Enterobacter roggenkampii	0.3291157756161779	0.41423948220064727
Enterobacter cloacae	0.2632926204929423	0.16828478964401294
Enterobacter ludwigii	0.23403788488261537	0.11650485436893204
Enterobacter kobei	0.19746946536970672	0.1553398058252427
Vibrio parahaemolyticus	0.3071747239084327	0.8543689320388349
Vibrio cholerae	0.2413515687851971	1.022653721682848
Vibrio alginolyticus	0.1682147297593798	0.284789644012945
Vibrio fluvialis	0.08776420683098077	0.16828478964401294
Vibrio harveyi	0.08045052292839903	0.1423948220064725
Burkholderia mallei	0.4534484019600673	1.3462783171521036
Burkholderia multivorans	0.4168799824471586	0.37540453074433655
Burkholderia glumae	0.3364294595187596	0.517799352750809
Burkholderia cenocepacia	0.16090104585679807	0.10355987055016182
Burkholderia thailandensis	0.13164631024647114	0.2588996763754045
Citrobacter freundii	1.1848167922182404	1.5275080906148868
Citrobacter braakii	0.460762085862649	0.284789644012945
Citrobacter portucalensis	0.3583705112265048	0.3106796116504854
Citrobacter gillenii	0.18284209756454325	0.09061488673139159
Citrobacter werkmanii	0.12433262634388942	0.11650485436893204
Aeromonas hydrophila	0.46807576976523074	0.23300970873786409
Aeromonas veronii	0.23403788488261537	0.36245954692556637
Aeromonas salmonicida	0.18284209756454325	0.09061488673139159
Aeromonas caviae	0.1462736780516346	0.1941747572815534
Aeromonas dhakensis	0.10239157463614422	0.09061488673139159
