type	hi
sdp	8.98
sdp	12.06
sdp	13.5
sdp	2.94
sdp	5.67
sdp	11.67
sdp	10.56
sdp	5.67
sdp	13.61
sdp	13.52
sdp	5.5
sdp	8.19
sdp	4.63
sdp	6.96
sdp	6.93
sdp	4.43
sdp	3.37
sdp	11.68
sdp	10.11
sdp	11.79
sdp	5.5
sdp	14.48
sdp	14.94
sdp	10.56
sdp	5.5
sdp	7.54
sdp	7.61
sdp	5.89
sdp	7.71
sdp	6.66
sdp	14.42
sdp	5.85
sdp	4.52
sdp	11.79
sdp	11.99
sdp	7.82
sdp	10.56
sdp	14.48
sdp	9.5
sdp	13.5
sdp	11.68
sdp	11.68
sdp	14.08
sdp	10.15
sdp	10.33
sdp	12.06
sdp	8.98
sdp	13.5
sdp	14
sdp	3.99
sdp	11.79
sdp	5.5
sdp	10.56
sdp	9.5
sdp	11.68
sdp	13.5
sdp	11.68
sdp	11.79
sdp	12.99
sdp	13.67
sdp	5.22
sdp	11.68
sdp	5.5
sdp	5.5
sdp	7.82
sdp	8.1
sdp	1.6
sdp	10.62
sdp	3.55
sdp	5.59
sdp	5.03
sdp	5.59
sdp	5.5
sdp	5.5
sdp	3.37
sdp	6.29
sdp	4.52
sdp	10.64
sdp	14.89
sdp	10.57
sdp	12.06
sdp	8.98
sdp	6.56
sdp	11.79
sdp	6.2
sdp	12.2
sdp	5.5
sdp	13.75
sdp	6.72
sdp	12.56
sdp	5.5
sdp	8.9
sdp	12.2
sdp	14.24
sdp	2.31
sdp	2.48
sdp	1.93
sdp	6.05
sdp	6.52
sdp	3.37
sdp	4.81
sdp	2.48
sdp	1.49
sdp	3.99
sdp	3.92
sdp	13.66
sdp	3.81
sdp	5.67
sdp	4.63
sdp	5.29
sdp	2.35
sdp	6.59
sdp	12.06
sdp	1.53
sdp	4.63
sdp	14
sdp	13.08
sdp	2.94
sdp	13.66
sdp	1.36
sdp	6.37
sdp	5.69
sdp	6.42
sdp	13.27
sdp	2.48
sdp	7.54
sdp	9.5
sdp	13.5
sdp	15.38
sdp	7.26
sdp	7.82
sdp	14.26
sdp	10.56
sdp	13.5
sdp	5.26
sdp	14.1
sdp	5.63
sdp	2.94
sdp	3.92
sdp	13.66
sdp	3.81
sdp	5.67
sdp	10.15
sdp	12.06
sdp	8.98
sdp	13.5
sdp	10.56
sdp	5.67
sdp	5.91
sdp	6.09
sdp	2.71
sdp	11.79
sdp	10.56
sdp	5.89
sdp	5.5
sdp	12.2
sdp	7.96
sdp	5.89
sdp	8.98
sdp	2.77
sdp	5.67
sdp	2.77
sdp	5.26
sdp	6.28
sdp	13.14
sdp	6.05
sdp	4.43
sdp	10.64
sdp	2.94
sdp	7.26
sdp	12.57
sdp	10.52
sdp	5.26
sdp	5.89
sdp	5.26
sdp	6.38
sdp	13.66
sdp	3.81
sdp	8.98
sdp	15.36
sdp	10.56
sdp	5.22
sdp	6.35
sdp	12.2
sdp	9.6
sdp	6.2
sdp	9.77
sdp	12.74
sdp	8.17
sdp	11.68
sdp	10.11
sdp	11.79
sdp	5.5
sdp	14.48
sdp	14.94
sdp	9.5
sdp	7.54
sdp	7.61
sdp	2.82
sdp	6.2
sdp	14.7
sdp	4.52
sdp	10.64
sdp	9.59
sdp	5.5
sdp	10.56
sdp	5.67
sdp	8.98
sdp	12.06
sdp	13.5
sdp	13.11
sdp	6.86
sdp	3.83
sdp	10.64
sdp	4.52
sdp	10.43
sdp	2.14
sdp	3.37
sdp	5.26
sdp	3.92
sdp	7.26
sdp	13.66
sdp	3.81
sdp	3.81
sdp	5.18
sdp	5.26
sdp	3.92
sdp	7.26
sdp	13.66
sdp	3.81
sdp	8.32
sdp	12.27
sdp	11.52
sdp	3.03
sdp	15.36
sdp	6.35
sdp	6.35
sdp	12.2
sdp	9.6
sdp	5.5
sdp	9.77
sdp	12.74
sdp	14.3
sdp	13.67
sdp	13.67
sdp	2.16
sdp	8.72
