genus	family	type	hi
g__Escherichia	f__Enterobacteriaceae	hic1	14.2502
g__Escherichia	f__Enterobacteriaceae	hic2	15.7589
g__Escherichia	f__Enterobacteriaceae	hic1	14.5035
g__Escherichia	f__Enterobacteriaceae	hic2	16.0748
g__Escherichia	f__Enterobacteriaceae	hic1	13.7705
g__Escherichia	f__Enterobacteriaceae	hic2	15.3209
g__Escherichia	f__Enterobacteriaceae	hic1	15.4707
g__Escherichia	f__Enterobacteriaceae	hic2	17.1411
g__Escherichia	f__Enterobacteriaceae	hic1	15.0304
g__Escherichia	f__Enterobacteriaceae	hic2	16.5809
g__Escherichia	f__Enterobacteriaceae	hic1	14.7644
g__Escherichia	f__Enterobacteriaceae	hic2	16.3149
g__Escherichia	f__Enterobacteriaceae	hic1	15.2678
g__Escherichia	f__Enterobacteriaceae	hic2	16.8391
g__Escherichia	f__Enterobacteriaceae	hic1	14.1587
g__Escherichia	f__Enterobacteriaceae	hic2	15.7167
g__Escherichia	f__Enterobacteriaceae	hic1	14.2295
g__Escherichia	f__Enterobacteriaceae	hic2	15.8008
g__Escherichia	f__Enterobacteriaceae	hic1	14.4151
g__Escherichia	f__Enterobacteriaceae	hic2	15.9656
g__Escherichia	f__Enterobacteriaceae	hic1	15.2029
g__Escherichia	f__Enterobacteriaceae	hic2	16.7742
g__Escherichia	f__Enterobacteriaceae	hic1	13.7007
g__Escherichia	f__Enterobacteriaceae	hic2	15.2512
g__Escherichia	f__Enterobacteriaceae	hic1	15.6052
g__Escherichia	f__Enterobacteriaceae	hic2	17.1631
g__Escherichia	f__Enterobacteriaceae	hic1	14.3257
g__Escherichia	f__Enterobacteriaceae	hic2	15.8970
g__Escherichia	f__Enterobacteriaceae	hic1	15.2000
g__Escherichia	f__Enterobacteriaceae	hic2	16.7713
g__Escherichia	f__Enterobacteriaceae	hic1	15.1372
g__Escherichia	f__Enterobacteriaceae	hic2	16.7085
g__Escherichia	f__Enterobacteriaceae	hic1	14.1126
g__Escherichia	f__Enterobacteriaceae	hic2	15.6839
g__Escherichia	f__Enterobacteriaceae	hic1	15.3616
g__Escherichia	f__Enterobacteriaceae	hic2	16.9740
g__Escherichia	f__Enterobacteriaceae	hic1	14.2295
g__Escherichia	f__Enterobacteriaceae	hic2	15.8008
g__Escherichia	f__Enterobacteriaceae	hic1	15.4345
g__Escherichia	f__Enterobacteriaceae	hic2	17.0489
g__Escherichia	f__Enterobacteriaceae	hic1	14.8228
g__Escherichia	f__Enterobacteriaceae	hic2	16.4770
g__Escherichia	f__Enterobacteriaceae	hic1	14.5035
g__Escherichia	f__Enterobacteriaceae	hic2	16.0748
g__Escherichia	f__Enterobacteriaceae	hic1	13.7485
g__Escherichia	f__Enterobacteriaceae	hic2	15.3064
g__Escherichia	f__Enterobacteriaceae	hic1	14.5035
g__Escherichia	f__Enterobacteriaceae	hic2	16.0748
g__Escherichia	f__Enterobacteriaceae	hic1	14.5097
g__Escherichia	f__Enterobacteriaceae	hic2	16.2441
g__Escherichia	f__Enterobacteriaceae	hic1	15.3863
g__Escherichia	f__Enterobacteriaceae	hic2	16.9736
