species	hic1	hic2
s__Escherichia coli	14.716608716049272	16.301912296296294
s__Klebsiella pneumoniae	15.140449956178808	16.73779951796673
s__Klebsiella variicola	15.081503546099288	16.85328297872341
s__Klebsiella quasipneumoniae	14.62157230769231	16.369886153846156
s__Salmonella enterica	13.955450158394978	15.582664466737004
s__Pseudomonas aeruginosa	16.475889836065644	18.151886666666744
s__Enterobacter hormaechei_A	13.600949589041106	15.326961369863055
s__Citrobacter freundii	13.787742011834316	15.396046153846164
s__Proteus mirabilis	13.899672483221481	15.308887248322161
s__Burkholderia mallei	14.820038095238093	16.585050793650815
