species	genus	type	hi
s__Escherichia coli	g__Escherichia	hic1	14.2502
s__Escherichia coli	g__Escherichia	hic2	15.7589
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
s__Escherichia coli	g__Escherichia	hic1	13.7705
s__Escherichia coli	g__Escherichia	hic2	15.3209
s__Escherichia coli	g__Escherichia	hic1	15.4707
s__Escherichia coli	g__Escherichia	hic2	17.1411
s__Escherichia coli	g__Escherichia	hic1	15.0304
s__Escherichia coli	g__Escherichia	hic2	16.5809
s__Escherichia coli	g__Escherichia	hic1	14.7644
s__Escherichia coli	g__Escherichia	hic2	16.3149
s__Escherichia coli	g__Escherichia	hic1	15.2678
s__Escherichia coli	g__Escherichia	hic2	16.8391
s__Escherichia coli	g__Escherichia	hic1	14.1587
s__Escherichia coli	g__Escherichia	hic2	15.7167
s__Escherichia coli	g__Escherichia	hic1	14.2295
s__Escherichia coli	g__Escherichia	hic2	15.8008
s__Escherichia coli	g__Escherichia	hic1	14.4151
s__Escherichia coli	g__Escherichia	hic2	15.9656
s__Escherichia coli	g__Escherichia	hic1	15.2029
s__Escherichia coli	g__Escherichia	hic2	16.7742
s__Escherichia coli	g__Escherichia	hic1	13.7007
s__Escherichia coli	g__Escherichia	hic2	15.2512
s__Escherichia coli	g__Escherichia	hic1	15.6052
s__Escherichia coli	g__Escherichia	hic2	17.1631
s__Escherichia coli	g__Escherichia	hic1	14.3257
s__Escherichia coli	g__Escherichia	hic2	15.8970
s__Escherichia coli	g__Escherichia	hic1	15.2000
s__Escherichia coli	g__Escherichia	hic2	16.7713
s__Escherichia coli	g__Escherichia	hic1	15.1372
s__Escherichia coli	g__Escherichia	hic2	16.7085
s__Escherichia coli	g__Escherichia	hic1	14.1126
s__Escherichia coli	g__Escherichia	hic2	15.6839
s__Escherichia coli	g__Escherichia	hic1	15.3616
s__Escherichia coli	g__Escherichia	hic2	16.9740
s__Escherichia coli	g__Escherichia	hic1	14.2295
s__Escherichia coli	g__Escherichia	hic2	15.8008
s__Escherichia coli	g__Escherichia	hic1	15.4345
s__Escherichia coli	g__Escherichia	hic2	17.0489
s__Escherichia coli	g__Escherichia	hic1	14.8228
s__Escherichia coli	g__Escherichia	hic2	16.4770
s__Escherichia coli	g__Escherichia	hic1	14.5035
s__Escherichia coli	g__Escherichia	hic2	16.0748
