env	type	num
other	SiPs	25.637699956766106
other	SuPs	12.235192390834413
other	SdPs	62.12710765239948
pig	SiPs	21.860885275519422
pig	SuPs	11.427280939476061
pig	SdPs	66.71183378500452
poultry	SiPs	20.96518987341772
poultry	SuPs	16.65348101265823
poultry	SdPs	62.38132911392405
fish	SiPs	26.73267326732673
fish	SuPs	15.346534653465346
fish	SdPs	57.92079207920792
dog	SiPs	18.411552346570396
dog	SuPs	11.552346570397113
dog	SdPs	70.03610108303249
bovine	SiPs	16.040955631399317
bovine	SuPs	12.82707622298066
bovine	SdPs	71.13196814562002
murine	SiPs	29.61672473867596
murine	SuPs	16.37630662020906
murine	SdPs	54.00696864111498
bird	SiPs	26.295585412667947
bird	SuPs	15.738963531669866
bird	SdPs	57.965451055662186
