env	type	num
other	SiPs	24.805131536213057
other	SuPs	12.869438129262747
other	SdPs	62.3254303345242
human	SiPs	18.750986271106203
human	SuPs	11.413129240965757
human	SdPs	69.83588448792804
soil	SiPs	23.49457058242843
soil	SuPs	10.365251727541954
soil	SdPs	66.14017769002962
plant	SiPs	24.157624214734437
plant	SuPs	8.509423186750428
plant	SdPs	67.33295259851513
animal	SiPs	21.189887550841377
animal	SuPs	13.509849270276737
animal	SdPs	65.30026317888189
rhizosphere	SiPs	20.391061452513966
rhizosphere	SuPs	7.262569832402234
rhizosphere	SdPs	72.3463687150838
seawater	SiPs	22.764227642276424
seawater	SuPs	11.382113821138212
seawater	SdPs	65.85365853658537
sediment	SiPs	21.794871794871796
sediment	SuPs	13.076923076923077
sediment	SdPs	65.12820512820512
freshwater	SiPs	21.872015281757403
freshwater	SuPs	12.79847182425979
freshwater	SdPs	65.32951289398281
wastewater	SiPs	20.936395759717314
wastewater	SuPs	11.395759717314487
wastewater	SdPs	67.6678445229682
