host	value	type
GCF_000007545.1_ASM754v1_genomic.fna	301.2063802	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	312.5305406	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	312.5305406	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	329.892973	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	329.892973	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	319.8420491	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	319.8420491	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	319.8420491	SiTVs
GCF_000012785.1_ASM1278v1_genomic.fna	342.3584528	SiTVs
GCF_000070465.1_ASM7046v1_genomic.fna	328.8650794	SiTVs
GCF_000145825.2_ASM14582v2_genomic.fna	343.9400749	SiTVs
GCF_000008325.1_ASM832v1_genomic.fna	328.7375328	SiTVs
GCF_000021125.1_ASM2112v1_genomic.fna	300.8680166	SiTVs
GCF_000147055.1_ASM14705v1_genomic.fna	324.8578375	SiTVs
GCF_000093145.3_ASM9314v2_genomic.fna	319.9356022	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	300.8606766	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	300.8606766	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	300.8606766	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	296.4391433	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	296.4391433	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	296.4391433	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	341.2351858	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	341.2351858	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	341.2351858	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	341.2351858	SiTVs
GCF_000007405.1_ASM740v1_genomic.fna	281.833369	SiTVs
GCF_000014885.1_ASM1488v1_genomic.fna	332.0114261	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	312.5464154	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	312.5464154	SiTVs
GCF_000012445.1_ASM1244v1_genomic.fna	336.1218318	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	304.3359433	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	304.3359433	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	296.5105105	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	296.5105105	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	296.5105105	SiTVs
GCF_000017705.1_ASM1770v1_genomic.fna	307.9603232	SiTVs
GCF_000009485.1_ASM948v1_genomic.fna	320.3285539	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	306.2191011	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	306.2191011	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	306.2191011	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	306.2191011	SiTVs
GCF_000019505.1_ASM1950v1_genomic.fna	324.0056077	SiTVs
GCF_000010745.1_ASM1074v1_genomic.fna	302.7268284	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	338.7144374	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	338.7144374	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	338.7144374	SiTVs
GCF_000009285.1_ASM928v2_genomic.fna	321.6412225	SiTVs
GCF_000069785.1_ASM6978v1_genomic.fna	324.6156863	SiTVs
GCF_000012205.1_ASM1220v1_genomic.fna	321.1186076	SiTVs
GCF_000027025.1_ASM2702v1_genomic.fna	312.517461	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	319.7563384	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	319.7563384	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	319.7563384	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	317.0363221	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	317.0363221	SiTVs
GCF_000026325.1_ASM2632v2_genomic.fna	313.0360845	SiTVs
GCF_000022585.1_ASM2258v1_genomic.fna	326.947983	SiTVs
GCF_000023365.1_ASM2336v1_genomic.fna	314.3207241	SiTVs
GCF_000023365.1_ASM2336v1_genomic.fna	314.3207241	SiTVs
GCF_000023025.1_ASM2302v1_genomic.fna	366.8370952	SiTVs
GCF_000023565.1_ASM2356v1_genomic.fna	325.0962452	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	310.6264415	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	310.6264415	SiTVs
GCF_000026305.1_ASM2630v1_genomic.fna	304.4434189	SiTVs
GCF_000021045.1_ASM2104v1_genomic.fna	319.2600989	SiTVs
GCF_000018765.1_ASM1876v1_genomic.fna	325.1601083	SiTVs
GCF_000022165.1_ASM2216v1_genomic.fna	311.0017234	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	340.9176107	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	340.9176107	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	313.9444573	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	313.9444573	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	313.9444573	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	311.3721796	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	311.3721796	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	325.0739603	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	325.0739603	SiTVs
GCF_000020125.1_ASM2012v1_genomic.fna	321.5373729	SiTVs
GCF_000026545.1_ASM2654v1_genomic.fna	304.302856	SiTVs
GCF_000012025.1_ASM1202v1_genomic.fna	278.0395623	SiTVs
GCF_000026265.1_ASM2626v1_genomic.fna	319.4991915	SiTVs
GCF_000007805.1_ASM780v1_genomic.fna	326.9518607	SiTVs
GCF_000009345.1_ASM934v1_genomic.fna	313.187235	SiTVs
GCF_000016345.1_ASM1634v1_genomic.fna	316.0169731	SiTVs
GCF_000006945.2_ASM694v2_genomic.fna	311.9367555	SiTVs
GCF_000025165.1_ASM2516v1_genomic.fna	310.52393	SiTVs
GCF_000006745.1_ASM674v1_genomic.fna	323.8016116	SiTVs
GCF_000021665.1_ASM2166v1_genomic.fna	332.9616487	SiTVs
GCF_000022225.1_ASM2222v1_genomic.fna	302.3862171	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	318.978852	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	318.978852	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	318.978852	SiTVs
GCF_000020185.1_ASM2018v1_genomic.fna	269.994543	SiTVs
GCF_000020185.1_ASM2018v1_genomic.fna	269.994543	SiTVs
GCF_000009565.1_ASM956v1_genomic.fna	312.5300725	SiTVs
GCF_000009565.1_ASM956v1_genomic.fna	312.5300725	SiTVs
GCF_000152285.1_ASM15228v1_genomic.fna	336.524261	SiTVs
GCF_000152285.1_ASM15228v1_genomic.fna	336.524261	SiTVs
GCF_000013585.1_ASM1358v1_genomic.fna	283.20625	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	206.2357129	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	206.2357129	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	206.2357129	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	206.2357129	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	206.2357129	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	206.2357129	SiTVs
GCF_000210855.2_ASM21085v2_genomic.fna	309.3644762	SiTVs
GCF_000210855.2_ASM21085v2_genomic.fna	309.3644762	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	316.0602141	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	316.0602141	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	316.0602141	SiTVs
GCF_000281895.1_ASM28189v1_genomic.fna	330.0128115	SiTVs
GCF_000188735.1_ASM18873v1_genomic.fna	309.4332213	SiTVs
GCF_000188735.1_ASM18873v1_genomic.fna	309.4332213	SiTVs
GCF_000283715.1_ASM28371v1_genomic.fna	280.3779674	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	313.7538327	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	313.7538327	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	313.7538327	SiTVs
GCF_000240905.2_ASM24090v3_genomic.fna	313.0002295	SiTVs
GCF_000225565.1_ASM22556v1_genomic.fna	320.6322121	SiTVs
GCF_000225565.1_ASM22556v1_genomic.fna	320.6322121	SiTVs
GCF_000252875.1_ASM25287v1_genomic.fna	308.5907344	SiTVs
GCF_000252875.1_ASM25287v1_genomic.fna	308.5907344	SiTVs
GCF_000310085.1_ASM31008v1_genomic.fna	333.2965533	SiTVs
GCF_000271985.2_ASM27198v2_genomic.fna	329.8520606	SiTVs
GCF_000299475.1_ASM29947v1_genomic.fna	307.0706596	SiTVs
