host	GC%	type
GCF_000007545.1_ASM754v1_genomic.fna	52.05170086	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	50.83261442	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	50.83261442	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	46.68108088	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	46.68108088	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	47.5347375	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	47.5347375	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	47.5347375	SiTVs
GCF_000012785.1_ASM1278v1_genomic.fna	67.97815123	SiTVs
GCF_000070465.1_ASM7046v1_genomic.fna	61.58258211	SiTVs
GCF_000145825.2_ASM14582v2_genomic.fna	59.3110687	SiTVs
GCF_000008325.1_ASM832v1_genomic.fna	63.5845922	SiTVs
GCF_000021125.1_ASM2112v1_genomic.fna	50.40779808	SiTVs
GCF_000147055.1_ASM14705v1_genomic.fna	56.29666571	SiTVs
GCF_000093145.3_ASM9314v2_genomic.fna	61.43897884	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	50.46102495	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	50.46102495	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	50.46102495	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	50.64893346	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	50.64893346	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	50.64893346	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	68.05872387	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	68.05872387	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	68.05872387	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	68.05872387	SiTVs
GCF_000007405.1_ASM740v1_genomic.fna	50.90599006	SiTVs
GCF_000014885.1_ASM1488v1_genomic.fna	43.29178894	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	50.75789473	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	50.75789473	SiTVs
GCF_000012445.1_ASM1244v1_genomic.fna	60.52095201	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	50.48415393	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	50.48415393	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	50.43633622	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	50.43633622	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	50.43633622	SiTVs
GCF_000017705.1_ASM1770v1_genomic.fna	45.42053094	SiTVs
GCF_000009485.1_ASM948v1_genomic.fna	66.89927806	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	50.56242876	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	50.56242876	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	50.56242876	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	50.56242876	SiTVs
GCF_000019505.1_ASM1950v1_genomic.fna	66.59509403	SiTVs
GCF_000010745.1_ASM1074v1_genomic.fna	50.63406132	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	67.62812219	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	67.62812219	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	67.62812219	SiTVs
GCF_000009285.1_ASM928v2_genomic.fna	66.33747616	SiTVs
GCF_000069785.1_ASM6978v1_genomic.fna	66.98989355	SiTVs
GCF_000012205.1_ASM1220v1_genomic.fna	57.91329431	SiTVs
GCF_000027025.1_ASM2702v1_genomic.fna	52.19008485	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	47.53986805	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	47.53986805	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	47.53986805	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	50.49247638	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	50.49247638	SiTVs
GCF_000026325.1_ASM2632v2_genomic.fna	50.65626232	SiTVs
GCF_000022585.1_ASM2258v1_genomic.fna	47.31977958	SiTVs
GCF_000023365.1_ASM2336v1_genomic.fna	50.80990872	SiTVs
GCF_000023365.1_ASM2336v1_genomic.fna	50.80990872	SiTVs
GCF_000023025.1_ASM2302v1_genomic.fna	50.89070029	SiTVs
GCF_000023565.1_ASM2356v1_genomic.fna	54.51725374	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	50.63052555	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	50.63052555	SiTVs
GCF_000026305.1_ASM2630v1_genomic.fna	50.73382055	SiTVs
GCF_000021045.1_ASM2104v1_genomic.fna	65.67554803	SiTVs
GCF_000018765.1_ASM1876v1_genomic.fna	46.17446928	SiTVs
GCF_000022165.1_ASM2216v1_genomic.fna	52.21374602	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	68.28915902	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	68.28915902	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	50.76940489	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	50.76940489	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	50.76940489	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	50.84054958	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	50.84054958	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	47.2277889	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	47.2277889	SiTVs
GCF_000020125.1_ASM2012v1_genomic.fna	62.28682923	SiTVs
GCF_000026545.1_ASM2654v1_genomic.fna	50.519461	SiTVs
GCF_000012025.1_ASM1202v1_genomic.fna	51.10910961	SiTVs
GCF_000026265.1_ASM2626v1_genomic.fna	50.79367139	SiTVs
GCF_000007805.1_ASM780v1_genomic.fna	58.33919116	SiTVs
GCF_000009345.1_ASM934v1_genomic.fna	47.2226184	SiTVs
GCF_000016345.1_ASM1634v1_genomic.fna	44.83410435	SiTVs
GCF_000006945.2_ASM694v2_genomic.fna	52.23887952	SiTVs
GCF_000025165.1_ASM2516v1_genomic.fna	50.50307638	SiTVs
GCF_000006745.1_ASM674v1_genomic.fna	47.48753854	SiTVs
GCF_000021665.1_ASM2166v1_genomic.fna	46.2660136	SiTVs
GCF_000022225.1_ASM2222v1_genomic.fna	50.46286177	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	49.91953894	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	49.91953894	SiTVs
GCF_000026225.1_ASM2622v1_genomic.fna	49.91953894	SiTVs
GCF_000020185.1_ASM2018v1_genomic.fna	51.02701585	SiTVs
GCF_000020185.1_ASM2018v1_genomic.fna	51.02701585	SiTVs
GCF_000009565.1_ASM956v1_genomic.fna	50.83261551	SiTVs
GCF_000009565.1_ASM956v1_genomic.fna	50.83261551	SiTVs
GCF_000152285.1_ASM15228v1_genomic.fna	67.78398552	SiTVs
GCF_000152285.1_ASM15228v1_genomic.fna	67.78398552	SiTVs
GCF_000013585.1_ASM1358v1_genomic.fna	50.91773926	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	54.5049484	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	54.5049484	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	54.5049484	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	54.5049484	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	54.5049484	SiTVs
GCF_000010085.1_ASM1008v1_genomic.fna	54.5049484	SiTVs
GCF_000210855.2_ASM21085v2_genomic.fna	52.18131407	SiTVs
GCF_000210855.2_ASM21085v2_genomic.fna	52.18131407	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	40.28756316	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	40.28756316	SiTVs
GCF_000259545.1_ASM25954v1_genomic.fna	40.28756316	SiTVs
GCF_000281895.1_ASM28189v1_genomic.fna	60.62847678	SiTVs
GCF_000188735.1_ASM18873v1_genomic.fna	52.18134324	SiTVs
GCF_000188735.1_ASM18873v1_genomic.fna	52.18134324	SiTVs
GCF_000283715.1_ASM28371v1_genomic.fna	50.71800965	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	40.23761639	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	40.23761639	SiTVs
GCF_000255915.1_ASM25591v1_genomic.fna	40.23761639	SiTVs
GCF_000240905.2_ASM24090v3_genomic.fna	52.21382955	SiTVs
GCF_000225565.1_ASM22556v1_genomic.fna	55.8616416	SiTVs
GCF_000225565.1_ASM22556v1_genomic.fna	55.8616416	SiTVs
GCF_000252875.1_ASM25287v1_genomic.fna	52.19448566	SiTVs
GCF_000252875.1_ASM25287v1_genomic.fna	52.19448566	SiTVs
GCF_000310085.1_ASM31008v1_genomic.fna	44.6828118	SiTVs
GCF_000271985.2_ASM27198v2_genomic.fna	66.50343339	SiTVs
GCF_000299475.1_ASM29947v1_genomic.fna	50.66938691	SiTVs
GCF_000299475.1_ASM29947v1_genomic.fna	50.66938691	SiTVs
GCF_000336425.1_ASM33642v1_genomic.fna	59.54707063	SiTVs
GCF_000282175.2_ASM28217v2_genomic.fna	62.76009173	SiTVs
GCF_000166535.2_ASM16653v3_genomic.fna	50.64174223	SiTVs
GCF_000223945.1_ASM22394v2_genomic.fna	66.12632071	SiTVs
GCF_000198775.1_ASM19877v1_genomic.fna	60.70827719	SiTVs
GCF_000198775.1_ASM19877v1_genomic.fna	60.70827719	SiTVs
GCF_000269645.1_PB_Esch_coli_MG12655_V1_genomic.fna	50.78957182	SiTVs
GCF_000269645.1_PB_Esch_coli_MG12655_V1_genomic.fna	50.78957182	SiTVs
GCF_000210475.1_ASM21047v1_genomic.fna	50.68790406	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	50.62160788	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	50.62160788	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	50.62160788	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	50.62160788	SiTVs
GCF_000220005.1_ASM22000v2_genomic.fna	50.62160788	SiTVs
GCF_000241385.1_ASM24138v1_genomic.fna	44.86423656	SiTVs
GCF_000310105.2_ASM31010v2_genomic.fna	39.02927109	SiTVs
GCF_000238455.2_ASM23845v3_genomic.fna	52.34983534	SiTVs
GCF_000194805.1_ASM19480v1_genomic.fna	60.78932109	SiTVs
GCF_000214195.1_ASM21419v1_genomic.fna	55.96143604	SiTVs
GCF_000250855.1_ASM25085v1_genomic.fna	47.46283079	SiTVs
GCF_000219915.2_ASM21991v3_genomic.fna	54.77631735	SiTVs
GCF_000214235.1_ASM21423v1_genomic.fna	55.96114557	SiTVs
GCF_000331385.1_PSSB64v1.0_genomic.fna	59.11831819	SiTVs
GCF_000263715.2_ASM26371v2_genomic.fna	59.65430548	SiTVs
GCF_000314895.2_ASM31489v2_genomic.fna	38.0563141	SiTVs
GCF_000273425.1_Esch_coli_MG12655_V1_genomic.fna	50.78963649	SiTVs
GCF_000273425.1_Esch_coli_MG12655_V1_genomic.fna	50.78963649	SiTVs
GCF_000187705.1_ASM18770v1_genomic.fna	52.2198861	SiTVs
GCF_000187705.1_ASM18770v1_genomic.fna	52.2198861	SiTVs
GCF_000223965.1_ASM22396v2_genomic.fna	66.14510245	SiTVs
GCF_000214805.1_ASM21480v1_genomic.fna	55.96058024	SiTVs
GCF_000194745.1_ASM19474v1_genomic.fna	67.39746445	SiTVs
GCF_000194745.1_ASM19474v1_genomic.fna	67.39746445	SiTVs
GCF_000224675.1_ASM22467v1_genomic.fna	53.78856742	SiTVs
GCF_000284495.1_ASM28449v1_genomic.fna	50.69560546	SiTVs
GCF_000252955.1_ASM25295v1_genomic.fna	44.21456124	SiTVs
GCF_000226155.1_ASM22615v1_genomic.fna	66.50427624	SiTVs
GCF_000272715.4_ASM27271v4_genomic.fna	52.213118	SiTVs
GCF_000272715.4_ASM27271v4_genomic.fna	52.213118	SiTVs
GCF_000272815.2_ASM27281v2_genomic.fna	52.24852066	SiTVs
GCF_000325725.1_ASM32572v1_genomic.fna	62.56373707	SiTVs
GCF_000184185.1_ASM18418v1_genomic.fna	50.8200963	SiTVs
GCF_000186585.1_ASM18658v1_genomic.fna	46.93136743	SiTVs
GCF_000186585.1_ASM18658v1_genomic.fna	46.93136743	SiTVs
GCF_000213635.1_ASM21363v1_genomic.fna	52.22193693	SiTVs
GCF_000182585.2_ASM18258v2_genomic.fna	67.89929711	SiTVs
GCF_000191665.1_ecmda7_genomic.fna	49.96235003	SiTVs
GCF_000270105.1_ASM27010v1_genomic.fna	50.82915894	SiTVs
GCF_000270105.1_ASM27010v1_genomic.fna	50.82915894	SiTVs
GCF_000168335.1_ASM16833v1_genomic.fna	66.32888831	SiTVs
GCF_000285655.3_EC958.v1_genomic.fna	50.81422831	SiTVs
GCF_000275645.1_ASM27564v1_genomic.fna	47.50869401	SiTVs
GCF_000342305.2_vvyb1_bt3.5_genomic.fna	46.72625249	SiTVs
GCF_000342305.2_vvyb1_bt3.5_genomic.fna	46.72625249	SiTVs
GCF_000260515.1_ASM26051v1_genomic.fna	68.13750836	SiTVs
GCF_000193455.1_ASM19345v1_genomic.fna	67.99687102	SiTVs
GCF_000272895.2_ASM27289v3_genomic.fna	52.1402898	SiTVs
GCF_000272895.2_ASM27289v3_genomic.fna	52.1402898	SiTVs
GCF_000196095.1_ASM19609v1_genomic.fna	45.37323574	SiTVs
GCF_000196095.1_ASM19609v1_genomic.fna	45.37323574	SiTVs
GCF_000272755.4_ASM27275v4_genomic.fna	52.23938359	SiTVs
GCF_000272755.4_ASM27275v4_genomic.fna	52.23938359	SiTVs
GCF_000166455.1_ASM16645v2_genomic.fna	47.50334744	SiTVs
GCF_000258025.1_ASM25802v1_genomic.fna	50.7796731	SiTVs
GCF_000262695.1_ASM26269v1_genomic.fna	67.17930796	SiTVs
GCF_000230875.1_Salmonella_enterica_SARB27-2.0_genomic.fna	52.14372129	SiTVs
GCF_000187565.1_ASM18756v1_genomic.fna	52.17800195	SiTVs
GCF_000252995.1_ASM25299v1_genomic.fna	51.32968843	SiTVs
GCF_000267545.1_ASM26754v1_genomic.fna	62.66553183	SiTVs
GCF_000267545.1_ASM26754v1_genomic.fna	62.66553183	SiTVs
GCF_000341425.1_ASM34142v1_genomic.fna	52.17605754	SiTVs
GCF_000284555.1_ASM28455v1_genomic.fna	66.14380233	SiTVs
GCF_000284555.1_ASM28455v1_genomic.fna	66.14380233	SiTVs
GCF_000195995.1_ASM19599v1_genomic.fna	51.87015714	SiTVs
GCF_000272775.4_ASM27277v4_genomic.fna	52.18428361	SiTVs
GCF_000272775.4_ASM27277v4_genomic.fna	52.18428361	SiTVs
GCF_000253175.1_ASM25317v1_genomic.fna	46.9674743	SiTVs
GCF_000253175.1_ASM25317v1_genomic.fna	46.9674743	SiTVs
GCF_000272735.4_ASM27273v4_genomic.fna	52.20836115	SiTVs
GCF_000272735.4_ASM27273v4_genomic.fna	52.20836115	SiTVs
GCF_000258145.1_ASM25814v1_genomic.fna	50.82364919	SiTVs
GCF_000286275.1_ASM28627v1_genomic.fna	55.06585943	SiTVs
GCF_000338075.1_G4222_chroI_and_II_genomic.fna	47.50521876	SiTVs
GCF_000227625.1_ASM22762v1_genomic.fna	50.5351729	SiTVs
GCF_000227625.1_ASM22762v1_genomic.fna	50.5351729	SiTVs
GCF_000227625.1_ASM22762v1_genomic.fna	50.5351729	SiTVs
GCF_000299455.1_ASM29945v1_genomic.fna	50.64890305	SiTVs
GCF_000299255.1_ASM29925v1_genomic.fna	50.58560098	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	50.75995888	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	50.75995888	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	50.75995888	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	50.75995888	SiTVs
GCF_000212715.2_ASM21271v2_genomic.fna	50.75995888	SiTVs
GCF_000245535.1_ASM24553v1_genomic.fna	51.85742486	SiTVs
GCF_000406205.1_DXX3274_1.0_genomic.fna	56.49024444	SiTVs
GCF_000487935.2_ASM48793v2_genomic.fna	52.10847552	SiTVs
GCF_000567925.1_ASM56792v1_genomic.fna	67.55245295	SiTVs
GCF_000567925.1_ASM56792v1_genomic.fna	67.55245295	SiTVs
GCF_000567925.1_ASM56792v1_genomic.fna	67.55245295	SiTVs
GCF_000511285.2_ASM51128v2_genomic.fna	56.25436265	SiTVs
GCF_000511895.1_ASM51189v1_genomic.fna	67.93790751	SiTVs
GCF_000430405.1_ASM43040v1_genomic.fna	45.29740434	SiTVs
GCF_000430405.1_ASM43040v1_genomic.fna	45.29740434	SiTVs
GCF_000597945.1_ASM59794v2_genomic.fna	48.04179618	SiTVs
GCF_000410515.1_ASM41051v1_genomic.fna	54.00707347	SiTVs
GCF_000468515.1_ASM46851v1_genomic.fna	50.85163147	SiTVs
GCF_000493535.2_DT2_genomic.fna	52.21561144	SiTVs
GCF_000504545.1_ASM50454v1_genomic.fna	56.81925988	SiTVs
GCF_000452445.2_ASM45244v3_genomic.fna	58.75843314	SiTVs
GCF_000583835.1_ASM58383v1_genomic.fna	67.88779991	SiTVs
GCF_000583835.1_ASM58383v1_genomic.fna	67.88779991	SiTVs
GCF_000499485.1_MYMC4100_genomic.fna	50.78315806	SiTVs
GCF_000486915.2_ASM48691v2_genomic.fna	52.23487166	SiTVs
GCF_000487215.2_ASM48721v2_genomic.fna	52.2220931	SiTVs
GCF_000487215.2_ASM48721v2_genomic.fna	52.2220931	SiTVs
GCF_000385905.1_ASM38590v1_genomic.fna	52.04162891	SiTVs
GCF_000511325.1_ASM51132v1_genomic.fna	63.28228754	SiTVs
GCF_000439575.1_ASM43957v1_genomic.fna	44.66652202	SiTVs
GCF_000599665.1_ASM59966v1_genomic.fna	50.65314949	SiTVs
GCF_000439695.1_ASM43969v1_genomic.fna	67.89486799	SiTVs
GCF_000439695.1_ASM43969v1_genomic.fna	67.89486799	SiTVs
GCF_000452585.2_ASM45258v3_genomic.fna	58.99747679	SiTVs
GCF_000439415.2_ASM43941v2_genomic.fna	52.21028148	SiTVs
GCF_000439415.2_ASM43941v2_genomic.fna	52.21028148	SiTVs
GCF_000520035.1_ASM52003v1_genomic.fna	50.66217628	SiTVs
GCF_000520035.1_ASM52003v1_genomic.fna	50.66217628	SiTVs
GCF_000494915.1_ASM49491v1_genomic.fna	61.55557068	SiTVs
GCF_000452525.3_ASM45252v4_genomic.fna	59.15103046	SiTVs
GCF_000439255.1_ASM43925v1_genomic.fna	51.31901146	SiTVs
GCF_000498395.2_ASM49839v3_genomic.fna	62.34039199	SiTVs
GCF_000354175.2_ASM35417v2_genomic.fna	44.67925366	SiTVs
GCF_000430145.2_ASM43014v3_genomic.fna	52.14912922	SiTVs
GCF_000512395.1_ASM51239v1_genomic.fna	40.36029196	SiTVs
GCF_000510305.1_ASM51030v1_genomic.fna	66.25334954	SiTVs
GCF_000510305.1_ASM51030v1_genomic.fna	66.25334954	SiTVs
GCF_000406185.1_DDA2976_1.0_genomic.fna	56.46286107	SiTVs
GCF_000406185.1_DDA2976_1.0_genomic.fna	56.46286107	SiTVs
GCF_000380365.1_ASM38036v1_genomic.fna	65.64518401	SiTVs
GCF_000406105.1_DCH402_1.0_genomic.fna	54.24966979	SiTVs
GCF_000503845.1_ASM50384v1_genomic.fna	52.1125211	SiTVs
GCF_000473275.1_ASM47327v1_genomic.fna	52.24610087	SiTVs
GCF_000412165.1_PSSSMv1.0_genomic.fna	59.01902042	SiTVs
GCF_000597845.1_ASM59784v1_genomic.fna	51.1064006	SiTVs
GCF_000486365.2_ASM48636v2_genomic.fna	52.27143354	SiTVs
GCF_000486365.2_ASM48636v2_genomic.fna	52.27143354	SiTVs
GCF_000599685.1_ASM59968v1_genomic.fna	50.65310238	SiTVs
GCF_000494855.1_ASM49485v1_genomic.fna	68.0217016	SiTVs
GCF_000494855.1_ASM49485v1_genomic.fna	68.0217016	SiTVs
GCF_000365305.1_DDI453_v1.0_genomic.fna	55.98611718	SiTVs
GCF_000618005.3_ASM61800v3_genomic.fna	50.48677068	SiTVs
GCF_000487015.2_ASM48701v2_genomic.fna	52.18260501	SiTVs
GCF_000380335.1_ASM38033v1_genomic.fna	65.6755125	SiTVs
GCF_000430165.1_ASM43016v1_genomic.fna	52.24923785	SiTVs
GCF_000464435.1_ASM46443v1_genomic.fna	45.4174208	SiTVs
GCF_000486345.2_ASM48634v2_genomic.fna	52.22547146	SiTVs
GCF_000567905.1_ASM56790v1_genomic.fna	67.78265192	SiTVs
GCF_000568495.1_ASM56849v1_genomic.fna	45.33327014	SiTVs
GCF_000417225.2_ASM41722v2_genomic.fna	57.00085524	SiTVs
GCF_000400525.1_DZE3532_1.0_genomic.fna	53.62279102	SiTVs
GCF_000400525.1_DZE3532_1.0_genomic.fna	53.62279102	SiTVs
GCF_000348565.1_ASM34856v1_genomic.fna	59.60257088	SiTVs
GCF_000442415.1_ASM44241v1_genomic.fna	52.13972449	SiTVs
GCF_000442415.1_ASM44241v1_genomic.fna	52.13972449	SiTVs
GCF_000487035.2_ASM48703v2_genomic.fna	51.99655326	SiTVs
GCF_000487035.2_ASM48703v2_genomic.fna	51.99655326	SiTVs
GCF_000406265.1_DDA3537_1.0_genomic.fna	56.45847867	SiTVs
GCF_000689415.1_PKB13_genomic.fna	65.61076311	SiTVs
GCF_000689415.1_PKB13_genomic.fna	65.61076311	SiTVs
GCF_000770395.1_ASM77039v1_genomic.fna	68.17244032	SiTVs
GCF_000770155.1_ASM77015v1_genomic.fna	55.03042637	SiTVs
GCF_000763555.1_ASM76355v1_genomic.fna	67.97732357	SiTVs
GCF_000743995.1_ASM74399v1_genomic.fna	50.87051318	SiTVs
