host	value	type
GCF_000007545.1_ASM754v1_genomic.fna	0.96161	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	0.937277	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	0.937277	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	0.879263	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	0.879263	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	0.906343	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	0.906343	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	0.906343	SiTVs
GCF_000012785.1_ASM1278v1_genomic.fna	0.820738	SiTVs
GCF_000070465.1_ASM7046v1_genomic.fna	0.911513	SiTVs
GCF_000145825.2_ASM14582v2_genomic.fna	0.86356	SiTVs
GCF_000008325.1_ASM832v1_genomic.fna	0.922362	SiTVs
GCF_000021125.1_ASM2112v1_genomic.fna	0.969641	SiTVs
GCF_000147055.1_ASM14705v1_genomic.fna	0.877346	SiTVs
GCF_000093145.3_ASM9314v2_genomic.fna	0.913161	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	0.96946	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	0.96946	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	0.96946	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	0.980782	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	0.980782	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	0.980782	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	0.824279	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	0.824279	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	0.824279	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	0.824279	SiTVs
GCF_000007405.1_ASM740v1_genomic.fna	1.016447	SiTVs
GCF_000014885.1_ASM1488v1_genomic.fna	0.843328	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	0.938004	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	0.938004	SiTVs
GCF_000012445.1_ASM1244v1_genomic.fna	0.888574	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	0.958781	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	0.958781	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	0.981776	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	0.981776	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	0.981776	SiTVs
GCF_000017705.1_ASM1770v1_genomic.fna	0.919388	SiTVs
GCF_000009485.1_ASM948v1_genomic.fna	0.909037	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	0.949462	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	0.949462	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	0.949462	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	0.949462	SiTVs
GCF_000019505.1_ASM1950v1_genomic.fna	0.894825	SiTVs
GCF_000010745.1_ASM1074v1_genomic.fna	0.962739	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	0.840575	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	0.840575	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	0.840575	SiTVs
GCF_000009285.1_ASM928v2_genomic.fna	0.913212	SiTVs
GCF_000069785.1_ASM6978v1_genomic.fna	0.905579	SiTVs
GCF_000012205.1_ASM1220v1_genomic.fna	0.911746	SiTVs
GCF_000027025.1_ASM2702v1_genomic.fna	0.933107	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	0.906755	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	0.906755	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	0.906755	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	0.923807	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	0.923807	SiTVs
GCF_000026325.1_ASM2632v2_genomic.fna	0.936135	SiTVs
GCF_000022585.1_ASM2258v1_genomic.fna	0.889441	SiTVs
GCF_000023365.1_ASM2336v1_genomic.fna	0.930527	SiTVs
GCF_000023365.1_ASM2336v1_genomic.fna	0.930527	SiTVs
GCF_000023025.1_ASM2302v1_genomic.fna	0.784878	SiTVs
GCF_000023565.1_ASM2356v1_genomic.fna	0.874144	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	0.946207	SiTVs
GCF_000026345.1_ASM2634v1_genomic.fna	0.946207	SiTVs
GCF_000026305.1_ASM2630v1_genomic.fna	0.956705	SiTVs
GCF_000021045.1_ASM2104v1_genomic.fna	0.904327	SiTVs
GCF_000018765.1_ASM1876v1_genomic.fna	0.865789	SiTVs
GCF_000022165.1_ASM2216v1_genomic.fna	0.935115	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	0.827509	SiTVs
GCF_000015905.1_ASM1590v1_genomic.fna	0.827509	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	0.933299	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	0.933299	SiTVs
GCF_000017985.1_ASM1798v1_genomic.fna	0.933299	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	0.940507	SiTVs
GCF_000023665.1_ASM2366v1_genomic.fna	0.940507	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	0.857526	SiTVs
GCF_000016945.1_ASM1694v1_genomic.fna	0.857526	SiTVs
GCF_000020125.1_ASM2012v1_genomic.fna	0.885977	SiTVs
GCF_000026545.1_ASM2654v1_genomic.fna	0.960022	SiTVs
GCF_000012025.1_ASM1202v1_genomic.fna	1.022701	SiTVs
GCF_000026265.1_ASM2626v1_genomic.fna	0.920954	SiTVs
GCF_000007805.1_ASM780v1_genomic.fna	0.895957	SiTVs
GCF_000009345.1_ASM934v1_genomic.fna	0.906564	SiTVs
GCF_000016345.1_ASM1634v1_genomic.fna	0.982176	SiTVs
GCF_000006945.2_ASM694v2_genomic.fna	0.932467	SiTVs
