phage	codon_distance	type
GCF_024266425.1.fna--virus-2.txt	0.319385	SiTVs
GCF_024266425.1.fna--virus-1.txt	0.222558	SiTVs
GCF_013283895.1.fna--virus-1.txt	0.166624	SiTVs
GCF_025252445.1.fna--virus-2.txt	0.168847	SiTVs
GCF_025252445.1.fna--virus-1.txt	0.248944	SiTVs
GCF_042259155.1.fna--virus-1.txt	0.243154	SiTVs
GCF_020886175.1.fna--virus-1.txt	0.15616	SiTVs
GCF_022982975.1.fna--virus-1.txt	0.208003	SiTVs
GCF_904863235.1.fna--virus-1.txt	0.248964	SiTVs
GCF_037082015.1.fna--virus-1.txt	0.184041	SiTVs
GCF_016780725.1.fna--virus-3.txt	0.147686	SiTVs
GCF_016780725.1.fna--virus-2.txt	0.212519	SiTVs
GCF_016780725.1.fna--virus-1.txt	0.186677	SiTVs
GCF_003180995.1.fna--virus-1.txt	0.146663	SiTVs
GCF_002549815.1.fna--virus-1.txt	0.329743	SiTVs
GCF_904865655.1.fna--virus-2.txt	0.259918	SiTVs
GCF_904865655.1.fna--virus-1.txt	0.169994	SiTVs
GCF_900618335.1.fna--virus-2.txt	0.322391	SiTVs
GCF_900618335.1.fna--virus-1.txt	0.308203	SiTVs
GCF_019971015.1.fna--virus-1.txt	0.162084	SiTVs
GCF_027570735.1.fna--virus-3.txt	0.19638	SiTVs
GCF_027570735.1.fna--virus-2.txt	0.30403	SiTVs
GCF_027570735.1.fna--virus-1.txt	0.1773	SiTVs
GCF_001043215.1.fna--virus-2.txt	0.264832	SiTVs
GCF_001043215.1.fna--virus-1.txt	0.315353	SiTVs
GCF_001623765.2.fna--virus-1.txt	0.321339	SiTVs
GCF_008727655.1.fna--virus-1.txt	0.274639	SiTVs
GCF_030063865.1.fna--virus-1.txt	0.179264	SiTVs
GCF_009764215.1.fna--virus-1.txt	0.344971	SiTVs
GCF_019048985.1.fna--virus-1.txt	0.261255	SiTVs
GCF_001729505.1.fna--virus-1.txt	0.329228	SiTVs
GCF_023650895.1.fna--virus-2.txt	0.228583	SiTVs
GCF_023650895.1.fna--virus-1.txt	0.221379	SiTVs
GCF_031219395.1.fna--virus-2.txt	0.183238	SiTVs
GCF_031219395.1.fna--virus-1.txt	0.176916	SiTVs
GCF_029958905.1.fna--virus-1.txt	0.228168	SiTVs
GCF_030297235.1.fna--virus-2.txt	0.162992	SiTVs
GCF_030297235.1.fna--virus-1.txt	0.169339	SiTVs
GCF_022964995.1.fna--virus-1.txt	0.112266	SiTVs
GCF_014189335.1.fna--virus-2.txt	0.227321	SiTVs
GCF_014189335.1.fna--virus-1.txt	0.184764	SiTVs
GCF_004792435.1.fna--virus-1.txt	0.321539	SiTVs
GCF_003956165.1.fna--virus-1.txt	0.198517	SiTVs
GCF_003986635.1.fna--virus-1.txt	0.320663	SiTVs
GCF_900187205.1.fna--virus-1.txt	0.212718	SiTVs
GCF_016917455.1.fna--virus-1.txt	0.290305	SiTVs
GCF_001750845.1.fna--virus-2.txt	0.275147	SiTVs
GCF_001750845.1.fna--virus-1.txt	0.311838	SiTVs
GCF_027945175.1.fna--virus-1.txt	0.190549	SiTVs
GCF_022570475.1.fna--virus-2.txt	0.327064	SiTVs
GCF_022570475.1.fna--virus-1.txt	0.162609	SiTVs
GCF_022493615.1.fna--virus-1.txt	0.249705	SiTVs
GCF_949786275.1.fna--virus-1.txt	0.169473	SiTVs
GCF_013786345.1.fna--virus-1.txt	0.216244	SiTVs
GCF_031663975.1.fna--virus-1.txt	0.260745	SiTVs
GCF_003717475.1.fna--virus-1.txt	0.198988	SiTVs
GCF_030489625.1.fna--virus-2.txt	0.201331	SiTVs
GCF_030489625.1.fna--virus-1.txt	0.177547	SiTVs
GCF_025999715.1.fna--virus-1.txt	0.171461	SiTVs
GCF_031357365.1.fna--virus-1.txt	0.197613	SiTVs
GCF_907163175.1.fna--virus-2.txt	0.158682	SiTVs
GCF_907163175.1.fna--virus-1.txt	0.32281	SiTVs
GCF_012054045.1.fna--virus-1.txt	0.212098	SiTVs
GCF_021953185.1.fna--virus-1.txt	0.179309	SiTVs
GCF_023374475.1.fna--virus-1.txt	0.265371	SiTVs
GCF_016403625.2.fna--virus-1.txt	0.196921	SiTVs
GCF_031851535.1.fna--virus-3.txt	0.226035	SiTVs
GCF_031851535.1.fna--virus-2.txt	0.266075	SiTVs
GCF_031851535.1.fna--virus-1.txt	0.220585	SiTVs
GCF_001566615.1.fna--virus-2.txt	0.19432	SiTVs
GCF_001566615.1.fna--virus-1.txt	0.260362	SiTVs
GCF_040562075.1.fna--virus-3.txt	0.122134	SiTVs
GCF_040562075.1.fna--virus-2.txt	0.31667	SiTVs
GCF_040562075.1.fna--virus-1.txt	0.322103	SiTVs
GCF_900636915.1.fna--virus-1.txt	0.224801	SiTVs
GCF_000273425.1.fna--virus-2.txt	0.316423	SiTVs
GCF_000273425.1.fna--virus-1.txt	0.269268	SiTVs
GCF_015240855.1.fna--virus-1.txt	0.17343	SiTVs
GCF_027359235.1.fna--virus-1.txt	0.174516	SiTVs
GCF_013402855.1.fna--virus-1.txt	0.337531	SiTVs
GCF_020695365.1.fna--virus-1.txt	0.320328	SiTVs
GCF_011765605.1.fna--virus-1.txt	0.0788509	SiTVs
GCF_041927085.1.fna--virus-1.txt	0.329762	SiTVs
GCF_030296155.1.fna--virus-1.txt	0.195456	SiTVs
GCF_002202175.1.fna--virus-2.txt	0.19841	SiTVs
GCF_002202175.1.fna--virus-1.txt	0.184746	SiTVs
GCF_035323065.1.fna--virus-1.txt	0.21199	SiTVs
GCF_040571345.1.fna--virus-1.txt	0.180949	SiTVs
GCF_012974245.1.fna--virus-1.txt	0.288553	SiTVs
GCF_003717285.1.fna--virus-1.txt	0.20038	SiTVs
GCF_024662395.1.fna--virus-1.txt	0.170258	SiTVs
GCF_028223205.1.fna--virus-1.txt	0.192201	SiTVs
GCF_016454645.1.fna--virus-2.txt	0.21826	SiTVs
GCF_016454645.1.fna--virus-1.txt	0.320264	SiTVs
GCF_041899285.1.fna--virus-2.txt	0.28424	SiTVs
GCF_041899285.1.fna--virus-1.txt	0.237125	SiTVs
GCF_000988505.1.fna--virus-8.txt	0.166057	SiTVs
GCF_000988505.1.fna--virus-3.txt	0.169117	SiTVs
GCF_000988505.1.fna--virus-9.txt	0.176593	SiTVs
GCF_000988505.1.fna--virus-7.txt	0.168468	SiTVs
GCF_000988505.1.fna--virus-5.txt	0.136584	SiTVs
GCF_000988505.1.fna--virus-4.txt	0.33643	SiTVs
GCF_000988505.1.fna--virus-6.txt	0.187747	SiTVs
GCF_000988505.1.fna--virus-2.txt	0.370874	SiTVs
GCF_000988505.1.fna--virus-1.txt	0.178395	SiTVs
GCF_020097475.1.fna--virus-3.txt	0.166427	SiTVs
GCF_020097475.1.fna--virus-2.txt	0.173878	SiTVs
GCF_020097475.1.fna--virus-1.txt	0.193068	SiTVs
GCF_030996425.1.fna--virus-1.txt	0.177088	SiTVs
GCF_040703135.1.fna--virus-1.txt	0.227979	SiTVs
GCF_002953095.1.fna--virus-2.txt	0.269181	SiTVs
GCF_002953095.1.fna--virus-1.txt	0.316548	SiTVs
GCF_024971955.1.fna--virus-1.txt	0.29898	SiTVs
GCF_006088755.1.fna--virus-2.txt	0.364355	SiTVs
GCF_006088755.1.fna--virus-1.txt	0.138121	SiTVs
GCF_000284555.1.fna--virus-2.txt	0.17738	SiTVs
GCF_000284555.1.fna--virus-1.txt	0.177707	SiTVs
GCF_003718535.1.fna--virus-1.txt	0.199641	SiTVs
GCF_902166465.1.fna--virus-1.txt	0.240298	SiTVs
GCF_000406265.1.fna--virus-1.txt	0.310413	SiTVs
GCF_002111025.1.fna--virus-2.txt	0.286011	SiTVs
GCF_002111025.1.fna--virus-1.txt	0.222476	SiTVs
GCF_003952745.1.fna--virus-1.txt	0.333302	SiTVs
GCF_002209725.2.fna--virus-1.txt	0.309287	SiTVs
GCF_033114265.2.fna--virus-1.txt	0.257356	SiTVs
GCF_019431185.1.fna--virus-3.txt	0.203192	SiTVs
GCF_019431185.1.fna--virus-4.txt	0.185726	SiTVs
GCF_019431185.1.fna--virus-2.txt	0.145704	SiTVs
GCF_019431185.1.fna--virus-1.txt	0.144272	SiTVs
GCF_013390325.1.fna--virus-1.txt	0.226881	SiTVs
GCF_023735255.1.fna--virus-2.txt	0.253213	SiTVs
GCF_023735255.1.fna--virus-1.txt	0.183458	SiTVs
GCF_023735375.1.fna--virus-1.txt	0.25353	SiTVs
GCF_009601765.2.fna--virus-2.txt	0.234323	SiTVs
