host	value	category
GCF_000007545.1_ASM754v1_genomic.fna	30.25651178	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	30.82235191	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	30.82235191	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	26.62801776	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	26.62801776	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	31.42382004	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	31.42382004	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	31.42382004	SiTVs
GCF_000012785.1_ASM1278v1_genomic.fna	32.40065876	SiTVs
GCF_000070465.1_ASM7046v1_genomic.fna	30.61216751	SiTVs
GCF_000145825.2_ASM14582v2_genomic.fna	24.91920852	SiTVs
GCF_000008325.1_ASM832v1_genomic.fna	39.08859137	SiTVs
GCF_000021125.1_ASM2112v1_genomic.fna	30.76697977	SiTVs
GCF_000147055.1_ASM14705v1_genomic.fna	30.57954289	SiTVs
GCF_000093145.3_ASM9314v2_genomic.fna	27.16381305	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	31.09060667	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	31.09060667	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	31.09060667	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	31.70186744	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	31.70186744	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	31.70186744	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	32.31843581	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	32.31843581	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	32.31843581	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	32.31843581	SiTVs
GCF_000007405.1_ASM740v1_genomic.fna	30.89132879	SiTVs
GCF_000014885.1_ASM1488v1_genomic.fna	20.56973653	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	30.44766078	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	30.44766078	SiTVs
GCF_000012445.1_ASM1244v1_genomic.fna	27.59494293	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	30.88381427	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	30.88381427	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	32.03129765	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	32.03129765	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	32.03129765	SiTVs
GCF_000017705.1_ASM1770v1_genomic.fna	29.24955887	SiTVs
GCF_000009485.1_ASM948v1_genomic.fna	29.40928966	SiTVs
