host	value	type
GCF_000007545.1_ASM754v1_genomic.fna	18.77170139	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	17.10741868	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	17.10741868	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	12.64864865	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	12.64864865	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	14.22091782	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	14.22091782	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	14.22091782	SiTVs
GCF_000012785.1_ASM1278v1_genomic.fna	15.3717906	SiTVs
GCF_000070465.1_ASM7046v1_genomic.fna	20.10582011	SiTVs
GCF_000145825.2_ASM14582v2_genomic.fna	18.25349892	SiTVs
GCF_000008325.1_ASM832v1_genomic.fna	22.0144357	SiTVs
GCF_000021125.1_ASM2112v1_genomic.fna	19.27318749	SiTVs
GCF_000147055.1_ASM14705v1_genomic.fna	15.48969669	SiTVs
GCF_000093145.3_ASM9314v2_genomic.fna	13.24638272	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	19.35249182	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	19.35249182	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	19.35249182	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	19.60647745	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	19.60647745	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	19.60647745	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	15.41680616	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	15.41680616	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	15.41680616	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	15.41680616	SiTVs
GCF_000007405.1_ASM740v1_genomic.fna	17.51871658	SiTVs
GCF_000014885.1_ASM1488v1_genomic.fna	11.53592617	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	16.796875	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	16.796875	SiTVs
GCF_000012445.1_ASM1244v1_genomic.fna	17.79409194	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	19.10887397	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	19.10887397	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	19.00724254	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	19.00724254	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	19.00724254	SiTVs
GCF_000017705.1_ASM1770v1_genomic.fna	13.4470377	SiTVs
GCF_000009485.1_ASM948v1_genomic.fna	13.64195002	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	17.9975923	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	17.9975923	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	17.9975923	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	17.9975923	SiTVs
GCF_000019505.1_ASM1950v1_genomic.fna	12.7295668	SiTVs
GCF_000010745.1_ASM1074v1_genomic.fna	19.00733221	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	15.26893135	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	15.26893135	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	15.26893135	SiTVs
GCF_000009285.1_ASM928v2_genomic.fna	13.42093607	SiTVs
GCF_000069785.1_ASM6978v1_genomic.fna	14.33930094	SiTVs
GCF_000012205.1_ASM1220v1_genomic.fna	18.44607931	SiTVs
GCF_000027025.1_ASM2702v1_genomic.fna	18.33955634	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	14.27808914	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	14.27808914	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	14.27808914	SiTVs
