host	value	category
GCF_000007545.1_ASM754v1_genomic.fna	7.087318194	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	7.28226989	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	7.28226989	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	7.746499103	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	7.746499103	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	7.660006929	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	7.660006929	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	7.660006929	SiTVs
GCF_000012785.1_ASM1278v1_genomic.fna	6.028753564	SiTVs
GCF_000070465.1_ASM7046v1_genomic.fna	7.345583172	SiTVs
GCF_000145825.2_ASM14582v2_genomic.fna	7.318102207	SiTVs
GCF_000008325.1_ASM832v1_genomic.fna	5.887717212	SiTVs
GCF_000021125.1_ASM2112v1_genomic.fna	7.409979961	SiTVs
GCF_000147055.1_ASM14705v1_genomic.fna	7.225033725	SiTVs
GCF_000093145.3_ASM9314v2_genomic.fna	7.041938024	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	7.385786998	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	7.385786998	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	7.385786998	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	7.434610623	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	7.434610623	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	7.434610623	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	6.009998359	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	6.009998359	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	6.009998359	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	6.009998359	SiTVs
GCF_000007405.1_ASM740v1_genomic.fna	7.324067773	SiTVs
GCF_000014885.1_ASM1488v1_genomic.fna	8.179850998	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	7.401124511	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	7.401124511	SiTVs
GCF_000012445.1_ASM1244v1_genomic.fna	7.181856821	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	7.397563013	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	7.397563013	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	7.425537669	SiTVs
