host	size	type
GCF_000007545.1_ASM754v1_genomic.fna	4.791961	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	4.558953	SiTVs
GCF_000022665.1_ASM2266v1_genomic.fna	4.558953	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	5.260086	SiTVs
GCF_000009745.1_ASM974v1_genomic.fna	5.260086	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	4.1353	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	4.1353	SiTVs
GCF_000021625.1_ASM2162v1_genomic.fna	4.1353	SiTVs
GCF_000012785.1_ASM1278v1_genomic.fna	7.308054	SiTVs
GCF_000070465.1_ASM7046v1_genomic.fna	3.732255	SiTVs
GCF_000145825.2_ASM14582v2_genomic.fna	5.874519	SiTVs
GCF_000008325.1_ASM832v1_genomic.fna	3.304561	SiTVs
GCF_000021125.1_ASM2112v1_genomic.fna	5.704171	SiTVs
GCF_000147055.1_ASM14705v1_genomic.fna	4.922802	SiTVs
GCF_000093145.3_ASM9314v2_genomic.fna	5.373644	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	5.671197	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	5.671197	SiTVs
GCF_000155125.1_ASM15512v1_genomic.fna	5.671197	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	5.855531	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	5.855531	SiTVs
GCF_000091005.1_ASM9100v1_genomic.fna	5.855531	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	7.247547	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	7.247547	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	7.247547	SiTVs
GCF_000011545.1_ASM1154v1_genomic.fna	7.247547	SiTVs
GCF_000007405.1_ASM740v1_genomic.fna	4.599354	SiTVs
GCF_000014885.1_ASM1488v1_genomic.fna	5.396476	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	4.639637	SiTVs
GCF_000146735.1_ASM14673v1_genomic.fna	4.639637	SiTVs
GCF_000012445.1_ASM1244v1_genomic.fna	6.438405	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	5.594605	SiTVs
GCF_000008865.2_ASM886v2_genomic.fna	5.594605	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	5.766081	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	5.766081	SiTVs
GCF_000010765.1_ASM1076v1_genomic.fna	5.766081	SiTVs
GCF_000017705.1_ASM1770v1_genomic.fna	6.058377	SiTVs
GCF_000009485.1_ASM948v1_genomic.fna	8.055782	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	5.249288	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	5.249288	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	5.249288	SiTVs
GCF_000017745.1_ASM1774v1_genomic.fna	5.249288	SiTVs
GCF_000019505.1_ASM1950v1_genomic.fna	7.971389	SiTVs
GCF_000010745.1_ASM1074v1_genomic.fna	5.52486	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	6.723972	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	6.723972	SiTVs
GCF_000012365.1_ASM1236v1_genomic.fna	6.723972	SiTVs
GCF_000009285.1_ASM928v2_genomic.fna	7.416678	SiTVs
GCF_000069785.1_ASM6978v1_genomic.fna	6.476522	SiTVs
GCF_000012205.1_ASM1220v1_genomic.fna	6.112448	SiTVs
GCF_000027025.1_ASM2702v1_genomic.fna	4.8794	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	4.132319	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	4.132319	SiTVs
GCF_000016245.1_ASM1624v1_genomic.fna	4.132319	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	5.215377	SiTVs
GCF_000019645.1_ASM1964v1_genomic.fna	5.215377	SiTVs
GCF_000026325.1_ASM2632v2_genomic.fna	5.3582	SiTVs
GCF_000022585.1_ASM2258v1_genomic.fna	4.236368	SiTVs
GCF_000023365.1_ASM2336v1_genomic.fna	4.630707	SiTVs
